Museum,Year,Income,IncomeType
National Gallery,2018/19,3700000,Trading
National Museums Liverpool,2018/19,3258800,Trading
National Portrait Gallery,2018/19,782000,Trading
Natural History Museum,2018/19,5982000,Trading
Royal Armouries,2018/19,1116791,Trading
Royal Museums Greenwich,2018/19,1738909,Trading
Science Museum Group,2018/19,2533000,Trading
Sir John Soane's Museum,2018/19,186550,Trading
Tate Gallery Group,2018/19,4931000,Trading
Tyne and Wear Museums,2018/19,,Trading
Victoria and Albert Museum,2018/19,7659000,Trading
Wallace Collection,2018/19,619000,Trading
Total,2018/19,45371000,Trading
British Museum,2019/20,8700000,Trading
Museum of the Home,2019/20,20907,Trading
Horniman Museum,2019/20,244000,Trading
Imperial War Museums,2019/20,4664000,Trading
Museum of Science and Industry in Manchester,2019/20,,Trading
National Gallery,2019/20,4100000,Trading
National Museums Liverpool,2019/20,503000,Trading
National Portrait Gallery,2019/20,620000,Trading
Natural History Museum,2019/20,7337000,Trading
Royal Armouries,2019/20,1836854,Trading
Royal Museums Greenwich,2019/20,1794810,Trading
Science Museum Group,2019/20,2389000,Trading
Sir John Soane's Museum,2019/20,193044,Trading
Tate Gallery Group,2019/20,4085000,Trading
Tyne and Wear Museums,2019/20,,Trading
Victoria and Albert Museum,2019/20,8380000,Trading
Wallace Collection,2019/20,628000,Trading
Total,2019/20,45496000,Trading
British Museum,2020/21,-300000,Trading
Museum of the Home,2020/21,-74230,Trading
Horniman Museum,2020/21,15000,Trading
Imperial War Museums,2020/21,-316000,Trading
Museum of Science and Industry in Manchester,2020/21,,Trading
National Gallery,2020/21,1100000,Trading
National Museums Liverpool,2020/21,150000,Trading
National Portrait Gallery,2020/21,-31000,Trading
Natural History Museum,2020/21,-1400000,Trading
Royal Armouries,2020/21,-250000,Trading
Royal Museums Greenwich,2020/21,0,Trading
Science Museum Group,2020/21,314000,Trading
Sir John Soane's Museum,2020/21,-41521,Trading
Tate Gallery Group,2020/21,-4030000,Trading
Tyne and Wear Museums,2020/21,,Trading
Victoria and Albert Museum,2020/21,-1756000,Trading
Wallace Collection,2020/21,2000,Trading
Total,2020/21,-6618000,Trading
British Museum,2021/22,6200000,Trading
Museum of the Home,2021/22,13272,Trading
Horniman Museum,2021/22,216000,Trading
Imperial War Museums,2021/22,1649000,Trading
Museum of Science and Industry in Manchester,2021/22,,Trading
National Gallery,2021/22,2400000,Trading
National Museums Liverpool,2021/22,395000,Trading
National Portrait Gallery,2021/22,143000,Trading
Natural History Museum,2021/22,10300000,Trading
Royal Armouries,2021/22,921769,Trading
Royal Museums Greenwich,2021/22,721184,Trading
Science Museum Group,2021/22,92000,Trading
Sir John Soane's Museum,2021/22,26916,Trading
Tate Gallery Group,2021/22,1737931,Trading
Tyne and Wear Museums,2021/22,,Trading
Victoria and Albert Museum,2021/22,3355000,Trading
Wallace Collection,2021/22,358000,Trading
Total,2021/22,28529000,Trading
British Museum,2022/23,11200000,Trading
Museum of the Home,2022/23,24202,Trading
Horniman Museum,2022/23,311000,Trading
Imperial War Museums,2022/23,4827000,Trading
Museum of Science and Industry in Manchester,2022/23,,Trading
National Gallery,2022/23,3800000,Trading
National Museums Liverpool,2022/23,626553,Trading
National Portrait Gallery,2022/23,-226000,Trading
Natural History Museum,2022/23,15600000,Trading
Royal Armouries,2022/23,1729504,Trading
Royal Museums Greenwich,2022/23,1295123,Trading
Science Museum Group,2022/23,2111000,Trading
