Museum,Year,VisitorCount,VisitorType
Wallace Collection,2011/12,24172,Under 16
Total,2011/12,9203000,Under 16
British Museum,2012/13,870825,Under 16
Museum of the Home,2012/13,21717,Under 16
Horniman Museum,2012/13,293416,Under 16
Imperial War Museums,2012/13,528000,Under 16
Museum of Science and Industry in Manchester,2012/13,,Under 16
National Gallery,2012/13,215000,Under 16
National Museums Liverpool,2012/13,426069,Under 16
National Portrait Gallery,2012/13,161200,Under 16
Natural History Museum,2012/13,1287394,Under 16
Royal Armouries,2012/13,521224,Under 16
Royal Museums Greenwich,2012/13,450855,Under 16
Science Museum Group,2012/13,1749000,Under 16
Sir John Soane's Museum,2012/13,3851,Under 16
Tate Gallery Group,2012/13,1062564,Under 16
Tyne and Wear Museums,2012/13,1019353,Under 16
Victoria and Albert Museum,2012/13,469700,Under 16
Wallace Collection,2012/13,25011,Under 16
Total,2012/13,9105000,Under 16
British Museum,2013/14,891024,Under 16
Museum of the Home,2013/14,21463,Under 16
Horniman Museum,2013/14,294541,Under 16
Imperial War Museums,2013/14,513000,Under 16
Museum of Science and Industry in Manchester,2013/14,,Under 16
National Gallery,2013/14,400000,Under 16
National Museums Liverpool,2013/14,433629,Under 16
National Portrait Gallery,2013/14,144600,Under 16
Natural History Museum,2013/14,1452000,Under 16
Royal Armouries,2013/14,562212,Under 16
Royal Museums Greenwich,2013/14,450224,Under 16
Science Museum Group,2013/14,1838000,Under 16
Sir John Soane's Museum,2013/14,1657,Under 16
Tate Gallery Group,2013/14,989000,Under 16
Tyne and Wear Museums,2013/14,885337,Under 16
Victoria and Albert Museum,2013/14,478100,Under 16
Wallace Collection,2013/14,28078,Under 16
Total,2013/14,9383000,Under 16
British Museum,2014/15,987000,Under 16
Museum of the Home,2014/15,19471,Under 16
Horniman Museum,2014/15,310553,Under 16
Imperial War Museums,2014/15,72108234,Under 16
Museum of Science and Industry in Manchester,2014/15,,Under 16
National Gallery,2014/15,500000,Under 16
National Museums Liverpool,2014/15,501663,Under 16
National Portrait Gallery,2014/15,158600,Under 16
Natural History Museum,2014/15,1421000,Under 16
Royal Armouries,2014/15,582206,Under 16
Royal Museums Greenwich,2014/15,445221,Under 16
Science Museum Group,2014/15,1697000,Under 16
Sir John Soane's Museum,2014/15,1904,Under 16
Tate Gallery Group,2014/15,562000,Under 16
Tyne and Wear Museums,2014/15,879982,Under 16
Victoria and Albert Museum,2014/15,480200,Under 16
Wallace Collection,2014/15,17113,Under 16
Total,2014/15,9285000,Under 16
British Museum,2015/16,1030082,Under 16
Museum of the Home,2015/16,17724,Under 16
Horniman Museum,2015/16,,Under 16
Imperial War Museums,2015/16,528196,Under 16
Museum of Science and Industry in Manchester,2015/16,,Under 16
National Gallery,2015/16,390507,Under 16
National Museums Liverpool,2015/16,458525,Under 16
National Portrait Gallery,2015/16,153400,Under 16
