Museum Name,Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Tate Total,February,537371,482463,646083,641559,539269,579141,534969,559721,556537,569390,529402,441777,791483,631099,0
Tate Total,March,630452,515945,699878,698835,567779,618145,592768,603734,693488,574733,553600,499537,905614,801856,0
V&A Total,April,284814,247841,221991,236137,193422,222458,249197,277507,302125,343485,296336,334602,295481,227375,331111
V&A Total,May,177050,175840,195950,214431,164546,244628,307528,217868,244387,301667,267692,318730,240048,250198,281550
V&A Total,June,185439,172049,175561,205730,228261,163399,241527,245965,341451,389999,352711,405912,327441,372442,388149
V&A Total,July,243459,217401,272539,245919,192445,204535,227852,341051,268108,325171,299846,381016,255451,447161,352983
V&A Total,August,194578,166883,235772,193663,264365,275252,342534,279633,266608,353293,329576,340811,265206,455726,394243
V&A Total,September,156413,133475,187509,214547,160759,182947,237391,245040,354253,316249,377363,351898,332914,527910,469553
V&A Total,October,274796,237611,301856,239950,200447,206220,279419,381176,299015,259762,307105,275627,292477,385131,376188
V&A Total,November,196472,162564,227999,221166,249910,287915,233836,268013,366789,254622,294062,287449,266136,308756,329372
V&A Total,December,145915,171446,254335,237210,152341,189059,150497,204335,344221,246886,278175,258991,284758,338007,312550
V&A Total,January,225170,141475,206143,191288,203031,302291,290094,306552,320584,293270,272721,268306,273834,308163,0
V&A Total,February,197585,186651,308910,227929,220365,261189,271384,284164,273525,284996,290245,351922,333032,394389,0
V&A Total,March,190028,182213,286132,195102,260810,206157,217628,283916,353191,277344,370372,354545,273042,381299,0
Wallace Collection,April,60197,18278,22474,24818,29798,31704,30106,31624,32956,34007,29206,38096,32490,40964,36324
Wallace Collection,May,22555,18985,23287,30712,32130,31037,33240,34549,34479,35047,32092,40402,35652,40278,34003
Wallace Collection,June,21473,18264,20039,28458,29988,25818,28490,33413,31450,34333,32309,37346,33087,38135,34681
Wallace Collection,July,20632,15502,18593,25171,30941,27246,30671,35892,29496,35472,32971,33061,34914,39805,35664
Wallace Collection,August,20226,14524,18727,26634,29275,23366,29012,32969,26420,35234,30609,35048,32851,35805,35676
Wallace Collection,September,19223,16387,18818,26163,27568,24700,27337,31943,29585,32898,36332,32248,33743,35434,32645
Wallace Collection,October,28190,19303,26116,29153,36342,47645,33209,35660,32294,35710,41832,36814,36932,42271,36032
Wallace Collection,November,21448,21231,25941,28069,33630,41783,30783,33297,32645,38091,39109,36078,36575,43450,35182
Wallace Collection,December,18233,15961,20650,21902,25722,30743,23578,30596,27822,32031,33396,30739,31857,35962,31576
Wallace Collection,January,19149,18856,24411,27103,25699,35214,26729,32244,29597,36497,37144,34078,34909,37490,0
Wallace Collection,February,18492,22742,30164,33138,26863,31440,31658,31336,32947,32354,39064,36401,35885,36001,0
Wallace Collection,March,18191,19181,28430,34028,31209,32072,32719,35789,38065,33795,43772,36392,40307,37689,0
Tyne & Wear  Total ,April,161369,137923,142351,128175,142872,143701,194564,151080,188023,155193,187221,0,0,0,0
Tyne & Wear  Total ,May,116560,132289,125788,139848,132699,202285,162698,142740,128613,151479,178653,0,0,0,0
Tyne & Wear  Total ,June,166985,143753,121026,124678,119366,227002,164678,139863,158326,135115,131255,0,0,0,0
Tyne & Wear  Total ,July,162404,156740,135352,155518,146667,287313,207897,179095,167560,170927,155660,0,0,0,0
Tyne & Wear  Total ,August,225039,216859,212753,214261,205727,343148,296316,258348,219867,218349,226296,0,0,0,0
Tyne & Wear  Total ,September,147521,130134,118594,121598,114289,180069,166764,134846,115044,132978,121178,0,0,0,0
Tyne & Wear  Total ,October,137850,151483,140170,135180,140491,206609,179623,169345,149689,150347,162945,0,0,0,0
Tyne & Wear  Total ,November,97935,100283,98245,97604,105189,133532,121617,125432,140368,129411,133540,0,0,0,0
Tyne & Wear  Total ,December,100424,92501,85099,77528,86487,96931,96644,98857,84950,86663,93771,0,0,0,0
Tyne & Wear  Total ,January,75799,84958,89520,83052,92960,101810,107294,103545,92793,106197,104268,0,0,0,0
Tyne & Wear  Total ,February,124301,122902,120421,118603,120517,189512,169669,159196,153972,172744,160860,0,0,0,0
Tyne & Wear  Total ,March,157720,99076,106813,105992,110828,174825,155485,135733,141658,137115,129292,0,0,0,0
Museum Of London ,April,34158,40424,38534,30330,0,0,0,0,0,0,0,0,0,0,0
Museum Of London ,May,31006,36006,32510,34275,0,0,0,0,0,0,0,0,0,0,0
