Museum number,Production date,prod_date_primary,start_year,end_year,midpoint_year,date_parse_status,Culture,Production place,Find spot
"No: 1872,0816.3",525 BC-500 BC,525bc-500bc,-525.0,-500.0,-512.0,parsed_bc_range,Cypro-Archaic II,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1872,0816.50",475BC-450BC (circa),475bc-450bc,-475.0,-450.0,-462.0,parsed_bc_range,Cypriot,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1922,0504.57",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,
"No: 1814,0704.1191",25BC-50,25bc-50,-2500.0,5000.0,1250.0,parsed_century_range,Roman,Made in: Italy (probably),
"No: 1950,0706.1",430 BC-400 BC,430bc-400bc,-430.0,-400.0,-415.0,parsed_bc_range,Etruscan,Made in: Orvieto (probably),
"No: 1857,1220.238",350BC (circa),350bc,-350.0,-350.0,-350.0,parsed_bc_single,Classical Greek,,Excavated/Findspot: Mausoleum (Halicarnassus)
"No: 1848,1020.75",390BC-380BC (circa),390bc-380bc,-390.0,-380.0,-385.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Nereid Monument (Xanthus)
"No: 1862,0817.1",325BC-280BC (circa),325bc-280bc,-325.0,-280.0,-302.0,parsed_bc_range,Hellenistic; Classical Greek,Made in: Greece,Found/Acquired: Greece
No: EA883,1318BC (circa),1318bc,-1318.0,-1318.0,-1318.0,parsed_bc_single,19th Dynasty,,Found/Acquired: Tomb of Ramses I
"No: 1816,0610.97",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
"No: 1857,1220.264",350BC (circa),350bc,-350.0,-350.0,-350.0,parsed_bc_single,Classical Greek,,Excavated/Findspot: Mausoleum (Halicarnassus)
"No: 1816,0610.103",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
"No: 1917,0701.249",150 BC-100 BC,150bc-100bc,-150.0,-100.0,-125.0,parsed_bc_range,Hellenistic,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1872,0816.11",100 BC-50 BC (circa),100bc-50bc,-100.0,-50.0,-75.0,parsed_bc_range,Hellenistic; Roman,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1886,0324.7.f",470BC-450BC (circa),470bc-450bc,-470.0,-450.0,-460.0,parsed_bc_range,Western Greek,Made in: Taranto,Excavated/Findspot: Taranto (?)
"No: 1816,0610.93",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
"No: 1872,0816.56",450BC-400BC,450bc-400bc,-450.0,-400.0,-425.0,parsed_bc_range,Cypriot,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1802,0710.2",193-200 (circa),193-200,193.0,200.0,196.0,parsed_ad_range,Roman,,Found/Acquired: Alexandria (Egypt)
No: 114207,2500BC,2500bc,-2500.0,-2500.0,-2500.0,parsed_bc_single,Early Dynastic III,,Excavated/Findspot: Tell Al-'Ubaid
"No: 1840,0401.1",1stC,1stc,1.0,100.0,50.0,parsed_century_single,Roman,,Excavated/Findspot: Zifteh
No: EA60093,1stC,1stc,1.0,100.0,50.0,parsed_century_single,Roman Period,,Found/Acquired: Egypt
No: EA38442,3rdC BC(early),3rdcbc,-300.0,-201.0,-250.0,parsed_century_single,Ptolemaic,,Found/Acquired: Alexandria (Egypt)
"No: 1917,0701.171",300BC-250BC,300bc-250bc,-300.0,-250.0,-275.0,parsed_bc_range,Hellenistic,Made in: Cyprus,Found/Acquired: Larnaka (city);  Found/Acquired: Idalion (?)
"No: 1872,0816.43",300 BC-50 BC,300bc-50bc,-300.0,-50.0,-175.0,parsed_bc_range,Hellenistic,Made in: Cyprus,Excavated/Findspot: Idalion
"No: 1864,1021.3",100-160,100-160,100.0,160.0,130.0,parsed_ad_range,Roman,,
"No: 1873,0320.7",475 BC-450 BC,475bc-450bc,-475.0,-450.0,-462.0,parsed_bc_range,Cypro-Classical I,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1917,0701.143",550BC (circa),550bc,-550.0,-550.0,-550.0,parsed_bc_single,Cypriot,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
