RecordID,Museum,LocalID,AcqDate,ObjectType,ItemDate,StartDate,EndDate,MidpointDate,ItemPlace,ModernCountry,Culture,ItemMaterial,ItemTechnique
01510,BM,"No: 1873,0820.20",1873,figure,460BC (circa),-460.0,-460.0,-460.0,Locri Epizephyrii,Italy,Western Greek,bronze,
01511,BM,No: 91017,1892,figure,2100BC-2000BC,-2100.0,-2000.0,-2050.0,,Iraq,Third Dynasty of Ur,copper alloy,
01512,BM,No: 1880.1641,1865,figure; lamp,18thC-19thC,1701.0,1900.0,1800.0,,India,,wood,
01513,BM,No: EA60599,1824,figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,copper alloy,solid-cast
01514,BM,"No: 1857,1118.4",1857,figure,9thC-10thC,801.0,1000.0,900.0,,Pakistan,,ivory,carved
01515,BM,No: EA11052,1880,figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,copper alloy,solid-cast
01516,BM,No: 119447,1880,figure,8thC BC-7thC BC,-800.0,-601.0,-700.0,,Turkey,Urartian,ivory,inlaid
01517,BM,"No: 1926,0324.7",1852-1859,figure,5thC BC(early),-500.0,-401.0,-450.0,Halicarnassus,Turkey,East Greek,terracotta,
01518,BM,"No: 1873,0529.6",1873,figure,2ndC,101.0,200.0,150.0,,Turkey,Roman,bronze,
01519,BM,"No: 1966,1217.1",1966,figure,17thC,1601.0,1700.0,1650.0,Portuguese India,India,Late Islamic,ivory,carved
01520,BM,"No: 1814,0704.725",1814,figure,300BC-200BC,-300.0,-200.0,-250.0,Italy,Italy,Etruscan,bronze,
01521,BM,No: EA60607,,figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,copper alloy,solid-cast
01522,BM,"No: 1937,0416.242",1937,figure; jewellery,925 (?),925.0,925.0,925.0,,China,Qing dynasty,gold,
01523,BM,"No: 1824,0428.1",1824,figure,2ndC (probably),101.0,200.0,150.0,,Greece,Roman,bronze,
01524,BM,"No: 1864,0501.9",,figure,150 BC - 50BC (circa),-150.0,-50.0,-100.0,,United Kingdom,Iron Age,copper alloy,
01525,BM,"No: 1981,0604.1",1981,figure,1900-1930 (circa),1900.0,1930.0,1915.0,Çanakkale,Turkey,Ottoman dynasty,pottery,glazed; hand-modelled
01526,BM,"No: 1953,0825.6",1953,figure,500BC (circa),-500.0,-500.0,-500.0,Sicily,Italy,Western Greek,terracotta,
01527,BM,"No: 1872,0701.70",1872,figure,12thC-13thC,1101.0,1300.0,1200.0,Orissa,India,,schist,carved
01528,BM,No: EA24430,1891,figure,,-1550.0,-1292.0,-1421.0,,Egypt,18th Dynasty,limestone,painted; incised
01529,BM,"No: Am1982,24.1",1982,figure,300-1200,300.0,1200.0,750.0,,Mexico,Classic Veracruz,pottery,
01530,BM,"No: 1805,0703.38",1805,figure,250BC-30BC,-250.0,-30.0,-140.0,,Greece,Hellenistic,bronze,
01531,BM,"No: 1873,0320.11",1873,figure,350BC-330BC,-350.0,-330.0,-340.0,Cyprus,Cyprus,Cypro-Classical II,limestone,carved
01532,BM,No: PDF.476,02 Apr 2025,figure,18thC,1701.0,1800.0,1750.0,Dehua,China,Qing dynasty,porcelain,glazed
01533,BM,"No: 1772,0316.28",1772,figure,450BC (circa),-450.0,-450.0,-450.0,Sicily,Italy,Western Greek,terracotta,mould-made
01534,BM,"No: 1873,0820.572",1873,figure,450BC (circa),-450.0,-450.0,-450.0,Corinth,Greece,Corinthian,terracotta,
01535,BM,"No: 1981,0210.12",1981,figure,350BC,-350.0,-350.0,-350.0,,Greece,Classical Greek,terracotta,
01536,BM,"No: 1963,0422.11",1963,figure,1735-1745 (circa),1735.0,1745.0,1740.0,Jingdezhen,China,Qianlong; Qing dynasty,porcelain,glazed; painted
01537,BM,"No: 1889,0306.4",1889,figure,18thC,1701.0,1800.0,1750.0,,China,Qing dynasty,turquoise,
01538,BM,No: Franks.312,,figure,1750-1770 (circa),1750.0,1770.0,1760.0,,China,Qing dynasty; Qianlong,porcelain,glazed; painted
01539,BM,"No: 1874,1110.16",1874,figure,4thC BC(late),-400.0,-301.0,-350.0,Athens,Greece,Hellenistic,terracotta,
01540,BM,"No: 1972,0301.1",1972,figure,12thC (probably),1101.0,1200.0,1150.0,China,China,Dali Kingdom,bronze; gold,gilded; cast
01541,BM,"No: 1859,0301.13",1859,figure,1stC-2ndC,1.0,200.0,100.0,,Italy,Roman,bronze,
01542,BM,"No: 1886,0401.1460",1886,figure; plaque,3rdC BC-2ndC BC,-300.0,-101.0,-200.0,Nile Delta,Egypt,Ptolemaic,terracotta,mould-made; painted
01543,BM,"No: 1962,1113.1",1962,figure,12thC,1101.0,1200.0,1150.0,Bengal,India,,schist,carved
01544,BM,"No: 1905,1218.1",1905,figure,7thC-8thC,601.0,800.0,700.0,Deccan,,,bronze,cast
01545,BM,No: EA11977,1878,figure,,,,,,Egypt,Ancient Egypt,glazed composition,glazed
